0,Cluster_Name,UCAC4,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ePos,EpRA,EpDE,f.mag,a.mag,e_a.mag,of,db,Na,Nu,Nc,pmRA,e_pmRA,pmDE,e_pmDE,Jmag,e_Jmag,q_Jmag,Hmag,e_Hmag,q_Hmag,Kmag,e_Kmag,q_Kmag,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,g,c,H,A,b,h,Z,B,L,N,S,OutFlag,P_M1,P_M2_kinem,P_M2_join,P_M3,ClassM1,ClassM2,ClassM3
36,Ruprecht_147,368-170161,289.172,98,-16.419,66,121,1996.47,1998.28,15.712,15.823,0.18,0,0,2,2,2,4.5,7.4,-4.5,6.9,14,0.03,5,13.439,0.03,5,13.204,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
37,Ruprecht_147,368-170167,289.175,61,-16.4266,57,100,1989.21,1990.44,15.752,15.817,0.08,0,0,3,2,3,-14.2,4,5.4,3.8,14.052,0.04,5,13.51,0.04,5,13.335,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0.9,0.91,0,0,1,0
38,Ruprecht_147,368-170168,289.175,38,-16.4533,42,61,1995.68,1994.73,15.208,15.124,0.08,0,0,4,4,3,1.9,3.4,9.1,3.5,14.024,0.03,5,13.792,0.04,5,13.69,0.05,5,15.887,6,15.122,1,15.481,1,14.984,3,15.15,9,0,3,0,0,0,0,0,0,0,1,1,0,0,0.94,0.9,0,0,1,0
39,Ruprecht_147,368-170173,289.178,40,-16.4348,39,59,1996.86,1997,15.529,15.596,0.19,0,0,3,3,2,-3.1,4.3,-2.6,4.2,13.771,0.02,5,13.178,0.02,5,13.024,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
40,Ruprecht_147,368-170175,289.18,23,-16.4102,23,33,1998.56,1998.56,14.629,14.581,0.08,0,0,6,6,3,5,3.3,2.7,3.3,13.399,0.03,5,13.08,0.03,5,13.059,0.03,5,15.272,3,14.475,1,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
41,Ruprecht_147,368-170179,289.181,113,-16.4319,110,330,1977.74,1978.7,16.493,16.443,-9999.99,0,0,1,1,2,34.5,9.7,24.1,9.1,15.731,0.08,25,15.402,0.1,5,15.143,0.15,6,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
42,Ruprecht_147,368-170182,289.182,21,-16.4479,14,25,1999.11,1999.11,12.938,12.901,0.06,0,0,7,7,3,-6.1,3.9,-12.9,2.5,10.899,0.02,5,10.287,0.03,5,10.137,0.02,5,14.575,1,13.202,6,13.859,3,12.762,1,12.375,1,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
43,Ruprecht_147,368-170183,289.183,12,-16.44,13,24,1991.58,1992.48,9.646,9.63,0.02,0,0,7,2,10,-0.7,1.6,-28,1.5,8.437,0.03,5,8.351,0.03,5,8.297,0.03,5,9.814,1,9.44,1,-9999.99,-9999.99,-9999.99,-9999.99,9.083,1,0,2,0,2,0,0,0,0,0,2,2,0,0.94,0,0,0.98,1,0,1
44,Ruprecht_147,368-170184,289.183,46,-16.4093,30,56,1998.01,1997.2,14.931,14.849,0.08,0,0,4,4,3,2,5.8,-4.2,3.2,13.12,0.03,5,12.568,0.03,5,12.439,0.03,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
45,Ruprecht_147,368-170187,289.186,55,-16.4417,62,97,1993.33,1991.37,15.371,15.335,0.17,0,0,3,3,2,0,4.5,-14.7,4.7,14.118,0.04,25,13.788,0.04,25,13.835,0.05,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,0,2,0,0,0.98,0.97,0,0,1,0
46,Ruprecht_147,368-170192,289.189,97,-16.4082,94,205,1980.88,1981.88,16.389,16.475,0.27,0,0,2,1,3,7.5,6,0.8,5.7,15.166,0.05,5,14.598,0.05,5,14.373,0.08,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.99,1,0,0,1,0
47,Ruprecht_147,368-170197,289.193,94,-16.4071,93,208,1980.69,1980.61,16.22,16.259,-9999.99,0,0,1,1,3,-6.1,5.9,0.3,5.9,15.15,0.05,5,14.74,0.06,5,14.622,0.1,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
48,Ruprecht_147,368-170228,289.21,95,-16.4414,72,168,1982.22,1988.99,16.167,16.228,0.08,0,0,2,2,3,-2.2,6,-12.6,4.7,14.698,0.03,5,14.356,0.04,5,14.291,0.06,5,16.908,16,15.965,9,16.405,4,15.765,3,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
49,Ruprecht_147,368-170231,289.21,70,-16.4037,60,115,1986.79,1990.35,16.216,16.065,-9999.99,0,0,1,1,3,-0.2,4.4,-9,4,15.073,0.04,5,14.816,0.05,5,14.769,0.1,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
50,Ruprecht_147,368-170238,289.214,57,-16.4325,57,95,1990.69,1990.65,15.858,15.882,0.13,0,0,2,2,3,3.1,3.9,-2.6,3.9,14.389,0.03,5,14.066,0.03,5,13.984,0.04,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
51,Ruprecht_147,368-170239,289.214,24,-16.4052,23,34,1998.27,1998.41,14.373,14.365,0.13,0,0,4,4,3,-2.7,3.3,0.2,3.3,12.544,0.03,5,11.957,0.03,5,11.826,0.02,5,16.182,18,14.82,13,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
52,Ruprecht_147,368-170241,289.215,78,-16.4288,90,238,1980.99,1974.54,15.336,15.641,0.52,0,0,2,2,3,-15.9,5.1,6.6,7.2,14.437,0.05,5,14.054,0.05,5,13.97,0.06,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,3,0,0,0.95,0,0,0,0,0
53,Ruprecht_147,368-170242,289.216,71,-16.4111,45,112,1984.29,1993.47,15.232,15.288,0.22,0,0,2,2,3,4.9,4.5,-6.2,3.6,13.82,0.03,5,13.371,0.04,5,13.242,0.03,5,16.473,3,15.533,6,15.921,1,15.165,2,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
54,Ruprecht_147,368-170254,289.22,71,-16.4385,47,114,1983.98,1992.87,15.229,15.216,0.25,0,0,2,2,3,1.5,4.5,6.6,3.6,13.726,0.03,5,13.18,0.04,5,13.07,0.03,5,16.438,3,15.475,1,15.96,3,15.18,5,14.849,5,0,3,0,0,0,0,0,0,0,3,1,0,0,0.99,0.98,0,0,1,0
55,Ruprecht_147,368-170262,289.225,54,-16.4455,51,86,1991.83,1991.78,15.762,15.727,0.25,0,0,2,2,3,-7.8,3.9,-16.2,3.6,14.138,0.03,5,13.722,0.03,5,13.565,0.04,5,16.577,6,15.622,11,16.04,0,15.446,2,15.193,1,0,3,0,0,0,0,0,0,0,3,1,0,0,0.93,0.89,0,0,1,0
56,Ruprecht_147,368-170266,289.226,51,-16.4328,81,111,1991.82,1991.83,15.279,15.152,0.2,0,0,2,2,3,-7.7,3.7,12.9,5.9,14.154,0.03,5,13.89,0.02,5,13.971,0.06,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0.46,0,0,0,0,0
57,Ruprecht_147,368-170267,289.227,71,-16.4289,59,120,1985.41,1989.73,16.237,16.028,0.07,0,0,2,2,3,-14.3,4.5,3.6,3.9,14.461,0.03,5,13.936,0.03,5,13.885,0.05,25,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.95,0.89,0,0,1,0
58,Ruprecht_147,368-170272,289.229,120,-16.4039,120,345,1974.96,1974.75,16.275,-9999.99,-9999.99,0,0,1,1,3,9.4,8.5,12.5,8.4,15.274,0.05,5,14.798,0.06,5,14.661,0.09,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,4,0,0,0,0,0,0,0,1,1,0,0,0.21,0,0,0,0,0
59,Ruprecht_147,368-170277,289.233,20,-16.4338,27,34,1998.35,1998.4,12.051,12.027,0.05,0,0,4,2,3,1.5,2.7,-2.9,3.6,8.469,0.02,5,7.636,0.06,5,7.312,0.02,5,14.089,3,12.398,7,13.191,5,11.804,4,10.301,51,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
60,Ruprecht_147,368-170295,289.244,24,-16.4156,25,36,1997.81,1997.64,13.962,14.028,0.09,0,0,4,4,3,-2.2,3,6.4,3.1,12.152,0.02,5,11.62,0.02,5,11.48,0.02,5,15.538,4,14.302,9,14.915,2,13.899,5,13.551,1,0,3,0,0,0,0,0,0,0,1,1,0,0,0.99,0.97,0,0,1,0
61,Ruprecht_147,368-170297,289.246,70,-16.427,77,148,1984.06,1984.16,15.724,15.287,0.05,0,0,2,2,3,-18.8,4.5,18.4,4.9,14.216,0.06,4,13.833,0.07,4,13.762,0.07,5,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,-9999.99,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
62,Ruprecht_147,368-170301,289.248,39,-16.4364,40,60,1995.24,1994.85,15.059,15.155,0.12,0,0,2,2,3,-0.7,3.4,1.2,3.5,13.707,0.03,5,13.395,0.03,5,13.338,0.04,5,16.045,3,15.184,2,15.577,3,15.022,11,14.92,1,0,3,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0
63,Ruprecht_147,368-170302,289.25,16,-16.4216,15,22,1996.71,1997.47,11.779,11.751,0.04,0,0,4,4,4,-0.3,1.3,-25.6,1.7,10.512,0.02,5,10.205,0.02,5,10.132,0.02,5,12.541,2,11.859,5,12.146,1,11.653,1,11.292,38,0,2,0,1,0,0,0,0,0,5,1,0,0.94,0.01,0.01,0.95,1,0,1
64,Ruprecht_147,368-170315,289.256,97,-16.4279,82,228,1976.01,1982.78,15.882,15.932,0.13,0,0,2,2,3,-2.8,7,-16.1,5.1,14.551,0.03,5,14.215,0.04,5,14.136,0.06,5,16.731,13,16.027,4,16.289,1,15.752,1,15.411,1,0,4,0,0,0,0,0,0,0,1,1,0,0,0.96,0.93,0,0,1,0
