objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J191637.960-161554.501	88482891581572246	19.2772112	-16.2651553	0.013	0.015	53	0.978785207475335	949	94	436527104	52	19.2772111	-16.2651394	0.001	0.001	55985.78275463	5	3	12	20	11	7	0.998	21.768	0.057	-999.000	-999.000	21.315	0.000	16892216	0.999	21.085	0.037	21.228	0.060	21.167	0.088	115000	0.999	20.539	0.020	20.576	0.036	20.471	0.044	115000	1.000	20.246	0.044	20.308	0.095	20.189	0.101	115000	0.999	19.863	0.064	-999.000	-999.000	19.538	0.157	115000	1.444
PSO J191636.397-161730.442	88452891517130101	19.2767771	-16.2918113	0.031	0.027	26	0.930455354908905	949	94	436527104	52	19.2767772	-16.2917895	0.001	0.001	56131.51043981	5	1	4	16	5	0	0.517	21.997	0.164	20.895	0.142	21.122	0.164	16892472	0.998	21.523	0.058	21.618	0.054	21.687	0.034	115000	1.000	21.110	0.049	21.265	0.208	21.228	0.138	115000	0.998	20.641	0.077	20.524	0.142	20.767	0.157	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	1.445
PSO J191644.440-161817.980	88432891852134333	19.2790107	-16.3050180	0.202	0.202	2	0.89713745740907	949	94	1375809536	164	19.2790082	-16.3049897	0.001	0.001	55465.21827546	2	0	0	1	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	0.079	21.476	0.268	-999.000	-999.000	-999.000	-999.000	118840	0.998	20.916	0.202	-999.000	-999.000	21.810	0.202	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.445
PSO J191646.473-161600.458	88482891936510194	19.2795763	-16.2668174	0.009	0.005	84	0.502543962097302	949	94	436527104	52	19.2795760	-16.2667941	0.001	0.001	55964.25237269	5	15	17	23	14	15	0.999	20.338	0.010	20.500	0.040	20.535	0.038	115000	1.000	19.751	0.007	19.985	0.019	19.905	0.018	115000	1.000	19.518	0.017	19.755	0.041	19.817	0.065	115000	1.000	19.421	0.028	19.616	0.061	19.574	0.050	115000	1.000	19.291	0.045	19.497	0.031	19.362	0.040	115000	1.448
PSO J191638.561-161810.104	88432891606746962	19.2773780	-16.3028324	0.078	0.078	4	0.218902655149719	949	94	302063616	36	-66.6000000	-999.0000000	-999.000	-999.000	56484.60752315	0	0	2	2	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.121	22.003	0.157	-999.000	-999.000	22.494	0.157	536	0.998	21.423	0.131	21.673	0.255	21.817	0.131	280	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.448
PSO J191647.715-161726.777	88452891987671423	19.2799210	-16.2907979	0.010	0.007	45	0.572089146424168	949	94	436527104	52	19.2799210	-16.2907715	0.001	0.001	56031.43614583	5	10	9	17	8	1	1.000	21.483	0.045	21.565	0.233	21.999	0.218	115000	0.999	20.528	0.063	20.656	0.153	20.610	0.132	115000	1.000	20.192	0.017	20.439	0.042	20.401	0.056	115000	1.000	20.021	0.059	20.340	0.150	20.397	0.180	115000	0.998	20.052	0.116	20.278	0.214	21.045	0.116	115000	1.449
PSO J191647.329-161739.664	88442891971847061	19.2798140	-16.2943739	0.014	0.018	54	0.455577850766087	949	94	436527104	52	19.2798136	-16.2943512	0.001	0.001	56163.21614583	5	10	11	18	10	5	1.000	21.049	0.076	21.142	0.232	21.698	0.348	115000	0.998	20.372	0.043	20.684	0.055	20.738	0.057	115000	0.998	20.087	0.024	20.373	0.041	20.494	0.029	115000	0.999	19.995	0.066	20.126	0.172	20.281	0.304	115000	0.999	19.806	0.031	20.038	0.254	20.679	0.364	115000	1.450
PSO J191647.501-161622.670	88472891979982754	19.2798615	-16.2729846	0.015	0.014	58	0.356800678518415	949	94	436527104	52	19.2798616	-16.2729640	0.001	0.001	56017.04810185	5	13	15	22	5	3	1.000	21.402	0.050	21.528	0.063	21.577	0.084	115000	0.999	20.774	0.036	21.082	0.041	21.207	0.083	115000	1.000	20.464	0.016	20.714	0.040	20.696	0.044	115000	0.998	20.382	0.079	20.538	0.077	20.665	0.026	115000	0.997	19.713	0.034	19.853	0.178	19.662	0.006	115000	1.451
PSO J191645.856-161551.713	88482891910623107	19.2794048	-16.2643835	0.028	0.007	71	0.225369391241455	949	94	436527104	52	19.2794047	-16.2643649	0.001	0.001	55910.03042824	5	15	16	22	14	4	1.000	21.040	0.018	21.204	0.087	21.113	0.101	115000	1.000	20.602	0.026	20.775	0.052	20.794	0.091	115000	0.999	20.253	0.020	20.420	0.054	20.313	0.044	115000	0.999	20.237	0.033	20.443	0.078	20.581	0.100	115000	0.999	20.025	0.023	20.415	0.048	20.106	0.108	115000	1.451
PSO J191642.760-161532.272	88482891781609586	19.2785454	-16.2589887	0.025	0.025	28	0.402329748871112	949	94	436527104	52	19.2785445	-16.2589645	0.001	0.001	56139.67611111	5	0	4	19	5	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.984	21.644	0.194	-999.000	-999.000	21.844	0.000	115000	1.000	21.106	0.063	21.016	0.111	21.575	0.167	115000	0.999	20.731	0.083	-999.000	-999.000	21.060	0.085	115000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	1.452
