objName	objID	raMean	decMean	raMeanErr	decMeanErr	nDetections	randomID	projectionID	skyCellID	objInfoFlag	qualityFlag	raStack	decStack	raStackErr	decStackErr	epochMean	nStackDetections	ng	nr	ni	nz	ny	gQfPerfect	gMeanPSFMag	gMeanPSFMagErr	gMeanKronMag	gMeanKronMagErr	gMeanApMag	gMeanApMagErr	gFlags	rQfPerfect	rMeanPSFMag	rMeanPSFMagErr	rMeanKronMag	rMeanKronMagErr	rMeanApMag	rMeanApMagErr	rFlags	iQfPerfect	iMeanPSFMag	iMeanPSFMagErr	iMeanKronMag	iMeanKronMagErr	iMeanApMag	iMeanApMagErr	iFlags	zQfPerfect	zMeanPSFMag	zMeanPSFMagErr	zMeanKronMag	zMeanKronMagErr	zMeanApMag	zMeanApMagErr	zFlags	yQfPerfect	yMeanPSFMag	yMeanPSFMagErr	yMeanKronMag	yMeanKronMagErr	yMeanApMag	yMeanApMagErr	yFlags	Ang Sep (')
string	integer	ra	dec	float	float	integer	double	integer	integer	integer	integer	ra	dec	float	float	double	integer	integer	integer	integer	integer	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float
PSO J084026.063+194107.745	131621301086093108	08 40 26.060	+19 41 07.65	0.022	0.022	3	0.334987821369421	1709	94	268513280	32			-999.000	-999.000	55284.40355324	0	0	0	0	3	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.858	12.887	0.047	12.032	0.144	13.127	0.118	24	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.213
PSO J084024.536+193914.589	131581301023355476	08 40 24.535	+19 39 14.49	0.102	0.102	2	0.730868621478666	1709	94	310456320	37			-999.000	-999.000	56256.50458333	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.998	21.437	0.150	-999.000	-999.000	-999.000	-999.000	280	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	18.763	0.138	17.023	0.078	17.622	0.138	16777488	1.214
PSO J084025.909+194110.876	131621301079514015	08 40 25.910	+19 41 10.88	0.001	0.001	3	0.119271237514234	1709	94	1083703296	129	08 40 25.910	+19 41 10.88	0.001	0.001	55732.31979167	1	0	0	1	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	32	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	32	0.000	13.084	0.002	14.035	0.002	14.116	0.002	48	0.717	15.287	0.002	-999.000	-999.000	14.887	0.002	16891960	0.543	14.322	0.002	12.855	0.001	14.078	0.002	16777272	1.224
PSO J084021.874+194133.125	131631300907371405	08 40 21.771	+19 41 32.62	0.025	0.025	2	0.166906874782319	1709	94	436285440	52	08 40 21.874	+19 41 33.13	0.001	0.001	55952.53100694	1	0	1	1	0	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.998	19.368	0.020	16.463	0.008	18.258	0.020	16794680	0.214	16.466	0.003	18.011	0.018	20.071	0.003	16432	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.224
PSO J084017.128+194036.158	131611300713352588	08 40 17.125	+19 40 36.08	0.114	0.114	2	0.290381059320998	1709	94	310456320	37			-999.000	-999.000	55706.98523148	0	0	0	0	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	21.008	0.163	20.486	0.226	20.505	0.163	16777496	0.997	19.868	0.157	18.220	0.095	18.846	0.157	16777496	1.226
PSO J084022.441+193905.976	131581300935162503	08 40 22.439	+19 39 05.90	0.137	0.137	2	0.358460596165117	1709	94	302067712	36			-999.000	-999.000	55306.27947917	0	0	0	1	0	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.643	18.331	0.226	-999.000	-999.000	18.526	0.226	4112	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.939	18.533	0.136	17.165	0.093	17.420	0.136	16777488	1.227
PSO J084020.833+193908.438	131581300867983428	08 40 20.831	+19 39 08.38	0.088	0.088	2	0.8417606976272169	1709	94	310456320	37			-999.000	-999.000	55662.56060185	0	0	0	0	1	1	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.999	20.622	0.160	19.346	0.129	19.784	0.160	16777488	0.999	18.360	0.105	16.528	0.058	17.211	0.105	16777488	1.227
PSO J084027.057+194046.867	131611301127236106	08 40 27.054	+19 40 46.50	0.026	0.026	5	0.778459423946645	1709	94	444751872	53	08 40 27.057	+19 40 46.87	0.001	0.001	56140.63908565	1	0	1	3	1	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	114720	0.999	21.174	0.077	19.272	0.042	20.166	0.077	16794680	0.998	20.411	0.037	-999.000	-999.000	19.197	0.038	16793912	0.999	20.551	0.060	-999.000	-999.000	-999.000	-999.000	16696	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	16416	1.228
PSO J084026.029+194109.569	131621301084963699	08 40 26.030	+19 41 09.57	0.012	0.012	4	0.805617620987461	1709	94	268959744	32			-999.000	-999.000	55639.69061343	0	0	0	0	2	2	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.356	13.478	0.000	-999.000	-999.000	-999.000	-999.000	24	0.000	11.626	0.015	10.998	0.026	12.588	0.139	24	1.229
PSO J084019.951+193912.898	131581300833794747	08 40 19.950	+19 39 12.83	0.194	0.194	2	0.741144926977479	1709	94	302067712	36			-999.000	-999.000	56231.63453704	0	0	0	0	2	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	0.969	21.238	0.194	19.741	0.158	20.321	0.194	16777496	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	-999.000	0	1.230
