K2 ID	Dataset Name	Campaign	Object type	RA (J2000)	Dec (J2000)	Target Type	Actual Start Time	Actual End Time	Investigation ID	R Mag	R Mag Err	J Mag	J Mag Err	KEP Mag	Kep Flag	Hip ID	Tyc ID	SDSS ID	UCAC ID	2MASS ID	2MASS Flag	Module	Output	Channel	Ang Sep (')
integer	string	integer	substring	ra	dec	ustring	datetime	datetime	string	float	float	float	float	float	string	integer	string	string	string	string	string	integer	integer	integer	float
219581699	K2EVEREST219581699-C07	7	STAR	19 18 11.488	-16 23 14.30	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.669	0.062	17.898	JHK					19181148-1623143	AAB-222-111-000-0-0	10	4	32	22.363
229228347	K2EVEREST229228347-C07	7		19 17 48.031	-16 01 00.53	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035					18.790								10	4	32	22.506
219709636	K2EVEREST219709636-C07	7	STAR	19 15 30.708	-16 02 18.43	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035_GO7084	13.247	0.030	11.474	0.021	13.249	gri				370-168182	19153070-1602184	AAA-222-111-000-0-0	10	4	32	22.546
219704210	K2EVEREST219704210-C07	7	STAR	19 17 56.580	-16 03 15.33	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.301	0.010	11.481	0.022	13.297	gri				370-169116	19175657-1603152	AAA-222-111-000-0-0	10	4	32	22.562
219534984	K2EVEREST219534984-C07	7	STAR	19 15 26.903	-16 30 34.30	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7086	12.497	0.010	10.949	0.024	12.529	gri				368-169630	19152690-1630343	AAA-222-111-000-0-0	10	4	32	22.564
219533969	K2EVEREST219533969-C07	7	STAR	19 15 27.259	-16 30 43.62	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			12.302	0.022	14.265	JHK				368-169632	19152725-1630435	AAA-222-111-000-0-0	10	4	32	22.589
219714418	K2EVEREST219714418-C07	7	STAR	19 15 32.789	-16 01 30.55	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.797	0.060	17.649	JHK					19153278-1601305	AAB-222-111-000-0-0	10	4	32	22.706
219657653	K2EVEREST219657653-C07	7	STAR	19 15 10.390	-16 10 59.30	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7008_GO7086	13.930	0.010	12.015	0.026	13.940	gri				370-168044	19151039-1610592	AAA-222-111-000-0-0	10	4	32	22.792
219734360	K2EVEREST219734360-C07	7	STAR	19 17 35.308	-15 58 07.10	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.043	0.020	11.265	0.022	13.098	gri				371-165703	19173530-1558070	AAA-222-111-000-0-0	10	4	32	22.797
229228329	K2EVEREST229228329-C07	7		19 15 13.162	-16 08 55.04	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035					18.560								10	4	32	22.799
219646416	K2EVEREST219646416-C07	7	STAR	19 18 15.545	-16 12 49.49	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.795	0.030	11.885	0.023	13.843	gri				369-166388	19181554-1612494	AAA-222-111-000-0-0	10	4	32	22.833
219589459	K2EVEREST219589459-C07	7	STAR	19 18 15.023	-16 22 00.62	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.489	0.010	11.871	0.024	13.513	gri				369-166384	19181502-1622005	AAA-222-111-000-0-0	10	4	32	22.878
219616382	K2EVEREST219616382-C07	7	STAR	19 18 17.399	-16 17 40.20	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			14.438	0.033	16.458	JHK					19181739-1617402	AAA-222-111-000-0-0	10	4	32	22.902
219748777	K2EVEREST219748777-C07	7	STAR	19 17 16.375	-15 55 36.15	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7030	12.200	0.020	11.150	0.024	12.192	gri				371-165600	19171637-1555361	AAA-222-111-000-0-0	10	4	32	22.917
219722869	K2EVEREST219722869-C07	7	STAR	19 15 37.440	-16 00 04.26	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	14.419	0.070	12.364	0.023	14.394	gri				370-168233	19153743-1600042	AAA-222-111-000-0-0	10	4	32	22.940
219593008	K2EVEREST219593008-C07	7	STAR	19 15 08.212	-16 21 26.80	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.457	0.060	11.558	0.022	13.429	gri				369-165206	19150820-1621268	AAA-222-111-000-0-0	10	4	32	22.942
219581121	K2EVEREST219581121-C07	7	STAR	19 18 14.116	-16 23 20.14	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			16.502	0.110	18.040	J					19181411-1623201	BCU-220-110-000-0-0	10	4	32	22.995
219609511	K2EVEREST219609511-C07	7	STAR	19 15 06.113	-16 18 47.00	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035			15.557	0.059	17.776	JHK					19150611-1618469	AAA-222-111-000-0-0	10	4	32	23.078
219576298	K2EVEREST219576298-C07	7	STAR	19 15 10.469	-16 24 06.04	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035	13.958	0.050	12.143	0.024	13.959	gri				368-169490	19151046-1624061	AAA-222-111-000-0-0	10	4	32	23.085
219708527	K2EVEREST219708527-C07	7	STAR	19 17 57.228	-16 02 30.30	LC	2015-10-04 18:07:22	2015-12-26 08:20:45	GO7035_GO7084	13.608	0.010	11.847	0.022	13.690	gri				370-169118	19175722-1602302	AAA-222-111-000-0-0	10	4	32	23.147
