┬á	Cluster_Name	UCAC4	RAJ2000	e_RAJ2000	DEJ2000	e_DEJ2000	ePos	EpRA	EpDE	f.mag	a.mag	e_a.mag	of	db	Na	Nu	Nc	pmRA	e_pmRA	pmDE	e_pmDE	Jmag	e_Jmag	q_Jmag	Hmag	e_Hmag	q_Hmag	Kmag	e_Kmag	q_Kmag	Bmag	e_Bmag	Vmag	e_Vmag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	g	c	H	A	b	h	Z	B	L	N	S	OutFlag	P_M1	P_M2_kinem	P_M2_join	P_M3	ClassM1	ClassM2	ClassM3
51	NGC_2682	508-049243	132.836	21	11.5245	26	34	1998.65	1997.62	14.007	13.962	0.13	0	0	4	4	3	-3.7	2.1	-2.2	2.5	12.967	0.02	5	12.671	0.02	5	12.583	0.03	5	14.676	2	14.083	1	14.458	29	13.936	3	13.844	6	0	0	0	0	0	0	1	0	0	1	0	0	0.91	0.8	0.8	0.82	1	1	1
52	NGC_2682	508-049244	132.84	33	11.552	35	48	1997.73	1998.43	15.463	15.292	0.31	0	0	2	2	2	-13	2.7	-3.8	3.2	13.834	0.03	5	13.287	0.03	5	13.184	0.03	5	16.728	6	15.665	2	16.289	25	15.299	4	15.092	14	0	0	0	0	0	0	0	0	0	1	0	0	0.92	1	1	0.91	1	1	1
53	NGC_2682	508-049246	132.85	20	11.5807	22	32	1995.34	1994.91	13.953	13.87	0.15	0	0	4	4	3	-7.1	1.6	-6	1.9	12.753	0.02	5	12.408	0.02	5	12.386	0.02	5	14.791	7	14.047	2	14.488	30	13.855	4	13.754	12	0	0	0	0	0	0	1	0	0	1	0	0	0.92	1	1	0.93	1	1	1
54	NGC_2682	508-049247	132.851	76	11.5858	91	141	1986.29	1983.39	16.196	16.409	-9999.99	0	0	1	1	2	15	3.3	9.6	3.8	14.986	0.04	5	14.502	0.05	5	14.506	0.07	5	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
55	NGC_2682	508-049248	132.854	20	11.5286	38	45	1997.75	1994.45	13.792	13.848	0.08	0	0	4	4	3	1.6	1.8	3.3	2.7	12.932	0.02	5	12.676	0.02	5	12.617	0.03	5	14.501	6	13.947	3	14.28	29	13.853	3	13.771	8	0	0	0	0	0	0	1	0	0	1	0	0	0	0.02	0.03	0	0	0	0
56	NGC_2682	508-049249	132.858	16	11.55	35	41	1993.97	1992.99	12.6	12.589	0.07	0	0	4	4	4	-9.5	1	-3.2	2.1	11.635	0.02	5	11.403	0.02	5	11.3	0.02	5	13.283	5	12.717	3	13.056	29	12.58	3	12.51	10	0	0	0	1	0	0	1	0	0	1	0	0	0.92	1	1	0.94	1	1	1
57	NGC_2682	508-049250	132.86	84	11.5848	90	149	1981.66	1984.49	16.294	16.324	-9999.99	0	0	1	1	2	3.1	3.4	0.2	3.8	15.431	0.05	5	15.208	0.09	5	15.111	0.13	6	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	-9999.99	0	0	0	0	0	0	0	0	0	1	0	0	0.02	0.01	0.01	0.02	0	0	0
58	NGC_2682	508-049251	132.866	31	11.5826	30	43	1998.61	1999.38	14.822	14.873	0.16	0	0	3	3	2	-11.3	2.9	-5.1	3.4	13.625	0.02	5	13.289	0.03	5	13.192	0.03	5	15.732	2	14.98	4	15.425	29	14.767	3	14.655	8	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.94	1	1	1
59	NGC_2682	508-049252	132.875	16	11.5864	36	42	1996.71	1993.96	12.598	12.582	0.07	0	0	4	2	4	-9.7	1.2	-2.9	2.3	11.62	0.02	5	11.366	0.02	5	11.317	0.02	5	13.288	2	12.722	1	13.082	28	12.598	3	12.537	12	0	0	0	1	0	0	1	0	0	1	0	0	0.93	1	1	0.94	1	1	1
60	NGC_2682	508-049254	132.881	53	11.475	86	115	1993.05	1985.91	15.65	15.622	0.28	0	0	2	2	2	1.4	2.9	-12	3.7	14.864	0.03	5	14.507	0.05	5	14.428	0.08	5	16.582	7	16.049	6	16.364	25	15.847	6	15.774	7	0	0	0	0	0	0	0	0	0	1	0	0	0.01	0.09	0	0	0	0	0
61	NGC_2682	508-049255	132.882	67	11.5734	73	111	1988.51	1989.97	15.962	16.186	-9999.99	0	0	1	1	2	4.4	3.1	1.1	3.5	15.11	0.04	5	14.765	0.07	5	14.707	0.09	5	17.145	9	16.469	4	16.998	46	16.255	10	16.229	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
62	NGC_2682	508-049258	132.892	38	11.5999	35	52	1997.04	1998.69	14.803	14.771	0.06	0	0	3	3	2	1.8	2.8	-14.1	3.3	13.089	0.02	5	12.531	0.02	5	12.372	0.02	5	16.425	3	15.179	3	15.902	27	14.752	5	14.412	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0.03	0.03	0	0	0	0
63	NGC_2682	508-049259	132.895	20	11.5185	34	43	1995.32	1990.89	13.837	13.916	0.09	0	0	4	4	3	-5.8	1.6	0.9	2	13.05	0.02	5	12.801	0.02	5	12.74	0.03	5	14.505	6	14.024	2	14.314	27	13.922	4	13.878	6	0	0	0	0	0	0	1	0	0	1	0	0	0.82	0.85	0.84	0.55	1	1	1
64	NGC_2682	508-049260	132.898	68	11.5756	46	118	1985.15	1988.7	14.482	14.451	0.09	0	0	3	3	3	-2.4	5.1	-10.8	3.4	13.438	0.02	5	13.097	0.03	5	13.029	0.03	5	15.409	6	14.693	3	15.092	27	14.51	4	14.363	14	0	0	0	0	0	0	1	0	0	1	0	0	0.34	0.57	0.52	0.06	0	1	0
65	NGC_2682	508-049261	132.898	32	11.5298	26	41	1998.22	1999.71	14.84	14.793	0.09	0	0	4	4	2	-9.4	2.8	-2.7	3.4	13.64	0.03	5	13.262	0.03	5	13.148	0.03	5	15.785	9	14.993	6	15.445	27	14.796	3	14.642	10	0	0	0	0	0	0	0	0	0	1	0	0	0.93	1	1	0.94	1	1	1
66	NGC_2682	508-049264	132.926	19	11.5353	25	34	1995.66	1993.55	13.068	13.066	0.08	0	0	4	4	3	-8.3	1.5	-1.6	1.7	12.174	0.02	5	11.86	0.02	5	11.802	0.02	5	13.78	5	13.193	3	13.546	27	13.068	3	12.987	9	0	0	0	0	0	0	1	0	0	1	0	0	0.93	1	1	0.9	1	1	1
67	NGC_2682	508-049266	132.95	16	11.5793	26	31	1999.1	1997.13	13.607	13.588	0.07	0	0	6	4	3	0.5	2	-4.6	2.3	11.933	0.02	5	11.345	0.02	5	11.229	0.02	5	14.973	6	13.906	3	14.494	27	13.574	2	13.283	9	0	0	0	0	0	0	1	0	0	1	0	0	0.59	0.19	0.16	0.33	1	0	0
